post_id,author_group,topic_group
2055069746765115434,author-01,other-sport
2055232372686086305,author-02,football
2055292201731609050,author-03,unclassified
2055320108306681943,author-04,other-sport
2055347696396112031,author-05,other-sport
2055354111378284849,author-06,football
2055358640438030718,author-07,football
2055361023754871260,author-08,football
2055364591786590502,author-09,football
2055368004074910134,author-10,football
2055369392590881270,author-11,football
2055375510255849518,author-12,unclassified
2055378389653979501,author-13,football
2055381110968705123,author-14,football
2079205509727478218,author-15,unclassified
2079222259802054870,author-16,unclassified
2079256963196567576,author-17,football
2079272919700517166,author-18,unclassified
2079288782130417741,author-19,football
